"","X","DAY","MONTH","YEAR","LATITUDE.x","LONGITUDE.x","Depth","Magnitude","Magnitude.Type","FLAG_TSUNAMI","INTENSITY","COUNTRY","LOCATION_NAME","DEATHS","INJURIES","DAMAGE_MILLIONS_DOLLARS","HOUSES_DESTROYED","HOUSES_DAMAGED","TOTAL_MISSING","PeopleAffected","PropertyDamanged"
"379",379,16,3,1978,29.926,66.302,33,5.9,"MS",0,2,"PAKISTAN","PAKISTAN:  QUETTA, NUSHKI",1,2,550,5300,6,62,65,5306
"380",380,16,3,1985,17.013,-62.448,13.4,6.5,"MW",1,6,"GUADELOUPE","GUADELOUPE",53,6,210,294,7,5,64,301
"381",381,16,3,2012,10.037,125.633,18,5.8,"MWW",0,8,"PHILIPPINES","PHILIPPINES:  SURIGAO",1,55,285.5,4,164,1,57,168
"382",382,16,3,2014,-19.9807,-70.7022,20,6.7,"MWW",1,6,"CHILE","CHILE:  IQUIQUE",1,2,3000,300,43000,1,4,43300
"383",383,16,4,1980,-8.082,108.793,84,5.8,"MB",0,6,"INDONESIA","INDONESIA:  JAVA:  TASIKMALAJA",5,201,5,56425,56425,1,207,112850
"384",384,16,4,2004,-8.669,114.65,95.5,5.5,"MWC",0,6,"INDONESIA","INDONESIA:  BALI",1,1200,5,100,31,70,1271,131
"385",385,16,4,2013,28.033,61.996,80,7.7,"MWW",0,8,"IRAN","IRAN; PAKISTAN:  MASHKAL",40,300,4600,400,1000,138,478,1400
"386",386,16,4,2016,0.3819,-79.9218,20.59,7.8,"MWW",0,8,"ECUADOR","ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO",662,6274,500,6998,2740,9,6945,9738
"387",387,16,5,1968,41.43,142.864,25,7.9,"MW",1,6,"JAPAN","JAPAN:  OFF COAST OF HONSHU ISLAND",50000,1700,3,8,8229,1,51701,8237
"388",388,16,5,1995,-23.008,169.9,20.2,7.7,"MW",1,3,"NEW CALEDONIA","NEW CALEDONIA:  NOUMEA; VANUATU:  PORT-VILA",5,4,500,154,1001,1,10,1155
"389",389,16,5,2007,20.503,100.732,9,6.3,"MWC",0,6,"LAOS","LAOS:  BOKEO;  THAILAND:  CHIANG RAI, CHIAN SAEN",13,330,164.8,500,1500,21,364,2000
"390",390,16,5,2010,18.4,-67.07,113,5.8,"MWC",0,7,"USA TERRITORY","PUERTO RICO:  LARES, VEGA BAJA",300,12000,4,400000,400000,5,12305,8e+05
"391",391,16,6,2010,-2.174,136.543,18,7,"MWC",0,6,"INDONESIA","INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN",17,200,0.45,2556,21100,9,226,23656
"392",392,16,7,1990,15.679,121.172,25.1,7.7,"MW",0,9,"PHILIPPINES","PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN",2412,3000,369.6,16,11000,17,5429,11016
"393",393,16,7,2000,20.253,122.043,33,6.4,"MWC",0,8,"PHILIPPINES","PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",1,6,15,690,22496,28,35,23186
"394",394,16,7,2007,37.535,138.446,12,6.6,"MWC",1,7,"JAPAN","JAPAN:  HONSHU:  W COAST",9,1088,12500,1700,875,138,1235,2575
"395",395,16,8,1971,28.845,103.693,20,5.7,"MW",0,7,"CHINA","CHINA:  SICHUAN PROVINCE:  MABIAN",1,23,1.4,50,5000,1,25,5050
"396",396,16,8,1976,6.262,124.023,33,7.9,"MS",1,6,"PHILIPPINES","PHILIPPINES:  MINDANAO:  S",1200,3500,134,12000,5000,70,4770,17000
"397",397,16,8,1995,-5.799,154.178,30.1,7.7,"MW",1,7,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  RABAUL, KOKOPO, NEW BRITAIN",1,3183,358,3000,21100,21,3205,24100
"398",398,16,8,2005,38.276,142.039,36,7.2,"MWC",1,9,"JAPAN","JAPAN:  EAST COAST HONSHU",2,56,5200,1,2000,62,120,2001
"399",399,16,8,2009,-1.479,99.49,20,6.7,"MWC",1,8,"INDONESIA","INDONESIA:  SUMATRA:  PADANG",1,9,1,5,21100,9,19,21105
"400",400,16,8,2013,-41.734,174.152,8.2,6.5,"MWW",0,8,"NEW ZEALAND","NEW ZEALAND:  WELLINGTON",1,1700,2,66800,12000,17,1718,78800
"401",401,16,9,1978,33.386,57.434,33,7.4,"MS",0,9,"IRAN","IRAN:  TABAS",20000,50000,50,959000,720,366,70366,959720
"402",402,16,9,2015,-31.5729,-71.6744,22.44,8.3,"MWW",1,9,"CHILE","CHILE:  CENTRAL",7,14,600,2305,10044,1,22,12349
"403",403,17,1,1983,38.026,20.228,14.3,7,"MW",1,6,"GREECE","GREECE: IONIAN SEA",300,800,600,1000,5000,15,1115,6000
"404",404,17,1,1994,34.213,-118.537,18.202,6.7,"MW",1,9,"USA","CALIFORNIA:  NORTHRIDGE",60,7000,40000,40000,12000,138,7198,52000
"405",405,17,10,1992,6.845,-76.806,14.3,6.7,"MW",0,6,"COLOMBIA","COLOMBIA:  MURINDO, CALI",11,20,2.1,544,14118,5,36,14662
"406",406,17,10,2015,-25.4674,-64.4839,17,5.8,"MWW",0,7,"ARGENTINA","ARGENTINA:  GALPON",1,5,0.5,4500,20,700,706,4520
"407",407,17,11,1985,-1.639,134.911,10,7.1,"MW",0,8,"INDONESIA","INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI",1,130,3.7,1000,2000,9,140,3000
"408",408,17,11,1987,58.586,-143.27,10,6.9,"MS",1,10,"USA","ALASKA:  GULF OF ALASKA",5000,13,4600,500,100,200,5213,600
"409",409,17,11,1988,12.399,124.537,19.3,6.6,"MW",0,6,"PHILIPPINES","PHILIPPINES:  SAMAR:  CATARMAN, CATBALOGAN",2,29,0.1,5385,11922,1,32,17307
"410",410,17,11,2000,-5.496,151.781,33,7.8,"MWC",0,8,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  NEW BRITAIN",5,129,130,1000,6,9,143,1006
"411",411,17,11,2003,51.146,178.65,33,7.8,"MWC",1,10,"USA","ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS",1,200,35,104,300,1,202,404
"412",412,17,11,2013,-60.2738,-46.4011,10,7.7,"MWW",0,9,"ANTARCTICA","SCOTIA SEA:  SOUTH ORKNEY ISLANDS",1,13,5,2305,15706,17,31,18011
